ID, ACTUAL,LOGC_ACTIVE,LOGC_INACTIVE,LOGC_PARTIAL,D840_ACTIVE,D840_INACTIVE,D840_PARTIAL,D540_ACTIVE,D540_INACTIVE,D540_PARTIAL,D_ACTIVE,D_INACTIVE,D_PARTIAL,M1_ACTIVE,M1_INACTIVE,M1_PARTIAL,M5_ACTIVE,M5_INACTIVE,M5_PARTIAL,TOP_ACTIVE,TOP_INACTIVE,TOP_PARTIAL,MACC_ACTIVE,MACC_INACTIVE,MAC_PARTIAL,META_ACTIVE,META_INACTIVE,META_PARTIAL,SMILE,,,,,,,ID, Actual_Class
MMV665949, ACTIVE,0.717378094,0.281711348,0.000910559,0.844147861,0.151571646,0.004280488,0.71214056,0.273686528,0.014172921,0.932892621,0.032033339,0.035074055,0.67037797,0.019038577,0.310583472,0.704549372,0.003252518,0.292198032,0.426580846,0.249602601,0.323816597,0.337362945,0.336128652,0.326508433,2.40E-18,1,0, Oc1ccc(cc1)C(=C(Cl)Cl)c2ccc(O)cc2,,,,,,,BTB05965, INACTIVE
MMV011567, ACTIVE,0.887394543,0.111796536,0.000808921,0.794946134,0.190104246,0.014949641,0.672093749,0.290178508,0.037727676,0.856086195,0.105401121,0.03851271,0.667944252,0.021702778,0.310352981,0.710833609,0.002248631,0.286917776,0.452640951,0.227591053,0.319768071,0.374947488,0.288567185,0.336485296,1,2.69E-14,4.20E-305, COc1ccc(cc1Cl)C(=O)Nc2nonc2c3ccc(OC)c(OC)c3,,,,,,,BTB10004, INACTIVE
MMV665890, ACTIVE,0.649098026,0.350307598,0.000594377,0.79043901,0.200026274,0.009534704,0.657117426,0.315430582,0.027451936,0.9548015,0.012347156,0.032851256,0.681826949,0.017513264,0.300659835,0.70425415,0.002790232,0.292955667,0.453549832,0.226108998,0.32034114,0.372439951,0.291044056,0.336515963,1,4.91E-13,1.39E-307, COc1ccc(cc1OC)c2nonc2NC(=O)c3cccc(C)c3,,,,,,,BTB11460, INACTIVE
MMV020660, ACTIVE,0.574786147,0.424322929,0.000890924,0.785731971,0.204530001,0.009738054,0.667221487,0.306225538,0.026552957,0.954804301,0.012547882,0.032647777,0.665028274,0.02319476,0.311776966,0.718405724,0.001809289,0.279784948,0.453881204,0.226129785,0.319989055,0.370582908,0.293385386,0.336031675,1,6.16E-13,9.56E-307, COc1ccc(cc1OC)c2nonc2NC(=O)c3cccc(Cl)c3,,,,,,,CD07424, INACTIVE
MMV665805, ACTIVE,0.659885025,0.339509521,0.000605455,0.784367144,0.205115929,0.010516942,0.633071899,0.339845359,0.027082786,0.938591063,0.02674205,0.034666862,0.660285294,0.023295911,0.316418797,0.703647494,0.002824828,0.293527752,0.458326697,0.221690401,0.319982916,0.375498772,0.288349092,0.336152166,1,1.75E-12,1.15E-299, CCOc1ccc(cc1OCC)c2nonc2NC(=O)c3cccc(C)c3,,,,,,,GK00018, INACTIVE
MMV665878, ACTIVE,0.614547168,0.383729996,0.001722837,0.77650094,0.208924219,0.014574813,0.628903747,0.333214194,0.03788209,0.942157626,0.022913445,0.034928933,0.67885673,0.018414961,0.302728355,0.719690323,0.001904738,0.278404981,0.455167949,0.225042805,0.319789231,0.351882815,0.315217763,0.332899481,0.973933055,0.026066945,4.40E-293, COc1cccc(NC(=O)[C@H](C(C)C)N2C(=O)Nc3ccccc3C2=O)c1,,,,,,,HTS04222, INACTIVE
MMV665918, ACTIVE,0.653612379,0.345232448,0.001155173,0.775492251,0.214381784,0.010125955,0.629951417,0.341751993,0.028296677,0.85391742,0.106504999,0.039577559,0.687446475,0.014651055,0.297902524,0.720669031,0.001751117,0.277579874,0.460055709,0.220273539,0.319670767,0.348826289,0.319588721,0.33158499,1,7.72E-11,4.26E-266, Fc1cccc(c1)c2nnc3ccc(SCC(=O)Nc4ccc5OCOc5c4)nn23,,,,,,,HTS04903, INACTIVE
OSM-S-202, ACTIVE,0.832784325,0.162732253,0.004483423,0.774421871,0.205647767,0.019930374,0.693104208,0.262028724,0.044867024,0.847251534,0.11031884,0.042429619,0.680981815,0.016270222,0.302747905,0.721568942,0.001695354,0.276735693,0.455230206,0.224001095,0.320768744,0.356879771,0.30926761,0.333852649,1,1.02E-14,8.32E-291, c1ncc2n(c1C(Nc1cccc(c1)Cl)=O)c(nn2)c1ccc(cc1)OC(F)F,,,,,,,HTS08683, INACTIVE
MMV665826, ACTIVE,0.649910465,0.348457413,0.001632122,0.774095476,0.214455858,0.011448635,0.646226883,0.32171163,0.032061499,0.938720882,0.026403867,0.034875233,0.674322903,0.016951416,0.308725655,0.723842263,0.001615635,0.274542034,0.456727296,0.222704813,0.320567846,0.354113549,0.310058534,0.335827857,0.998388429,0.001611571,2.41E-292, COc1cccc(NC(=O)Cn2c(C)c(C#N)c3ccccc23)c1,,,,,,,HTS12704, INACTIVE
MMV669360, ACTIVE,0.688703302,0.307628392,0.003668306,0.772932231,0.210571662,0.016496141,0.670828342,0.286649406,0.042522211,0.897372901,0.06419421,0.038432889,0.680700123,0.017268922,0.302030891,0.717172682,0.001847448,0.280979902,0.458426148,0.219388723,0.322185189,0.351800978,0.313122123,0.335076869,1,4.75E-20,8.75E-282, c1ncc2n(c1COCc1cc(c(cc1)F)F)c(nn2)c1ccc(cc1)OC(F)F,,,,,,,HTS13895, INACTIVE
