ID,EC50,ION_ACTIVITY,ACTUAL_200,ACTUAL_500,ACTUAL_1000,M2_200_90,M5_500_40,M5_500_130,M5_500_250,M5_1000_210,LOGC_500,SMILE
JS_10-1,50,X_MISSING,INACTIVE,INACTIVE,INACTIVE,0.029478576,0.002356479,0.000512139,0.002108433,1.42E-06,0.049035329,ClC1=CC=CC(N/N=C/C2=CC=C(C#N)C=C2)=N1
JS_11-1,50,X_MISSING,INACTIVE,INACTIVE,INACTIVE,0.004040009,0.002331593,0.000550477,0.002304673,0.000101656,0.010767207,ClC1=CC=CC2=NN=C(C3=CC=C(C#N)C=C3)N21
JS_12-1,50,X_MISSING,INACTIVE,INACTIVE,INACTIVE,0.001788832,0.002468104,0.000564284,0.001521208,4.15E-05,0.028842797,ClC1=CC=CC(C(NC2=CC(C(F)(F)F)=NC=C2)=O)=N1
JS_15-1,50,X_MISSING,INACTIVE,INACTIVE,INACTIVE,0.020975249,0.002326615,0.000693558,0.003505636,2.24E-06,0.004270031,O=C(NC1=CC=NC(C(F)(F)F)=C1)C2=CC=CC(N/N=C/C3=CC=C(C#N)C=C3)=N2
JS_16-1,50,X_MISSING,INACTIVE,INACTIVE,INACTIVE,0.000313049,0.002893089,0.000579708,0.002802267,3.57E-05,0.004074118,O=C(NC1=CC=NC(C(F)(F)F)=C1)C2=CC=CC3=NN=C(C4=CC=C(C#N)C=C4)N32
JS_19-1,5.2,X_MISSING,INACTIVE,INACTIVE,INACTIVE,0.015942199,0.002360855,0.000615002,0.001903245,5.64E-05,0.02755414,ClC(C=CC=C1)=C1CCOC2=CC=CC3=NN=C(C4=CC=C(C#N)C=C4)N32
JS_20-1,6.8,X_MISSING,INACTIVE,INACTIVE,INACTIVE,0.046947528,0.002283518,0.00056537,0.008460254,0.000131992,0.002338288,N#CC(C=C1)=CC=C1C2=NN=C3C=CC=C(OCCC4=CC=CC=C4)N32
JS_21-1,3.5,X_MISSING,INACTIVE,INACTIVE,INACTIVE,0.00454125,0.002370666,0.000622187,0.008056304,0.000205855,0.048354616,FC(C(F)=C1)=CC=C1CCOC2=CC=CC3=NN=C(C4=CC=C(C#N)C=C4)N32
MMV000248,0.7185,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.992005646,0.002462017,0.000467076,0.001220578,0.99998498,0.031002364,CCN(CC)CCN1C(=N)N(CC(O)c2ccc(Cl)c(Cl)c2)c3ccccc13
MMV000304,1.06,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.707495213,0.002809819,0.000402175,0.000699051,1.33E-05,0.119905386,CCOc1ccc(Nc2c3ccccc3nc4ccccc24)cc1
MMV000326,1.17,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.011526769,0.002584253,0.000924336,0.020066518,1.00E-05,0.139059362,Cc1ccc2nc(C)cc(Nc3cccc(c3)C(F)(F)F)c2c1
MMV000340,0.6945,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.000327023,0.00190235,0.000556776,0.001510708,0.999938965,0.0471925,CCN1C2=C(CCC2)C(=N)C3=C1CCCC3
MMV000356,1.03,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.009765184,0.002527382,0.000772544,0.002447907,1.05E-06,0.006630287,c1(cc(Br)ccc1O)CN(CC2)CCN2Cc3cccc(F)c3
MMV000442,0.362,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.696387708,0.999767363,1,1,0.999998808,0.959464109,CC(C)(C)c1ccc2OCN(Cc3ccc(Cl)cc3)Cc2c1
MMV000443,0.439,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.015399163,0.999902725,0.999998689,1,1,0.920998348,CCOc1ccc2OCN(Cc3ccc(Cl)cc3)Cc2c1
MMV000444,2.6504,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.822323203,0.003192273,0.000344691,0.000376813,2.08E-05,0.051881321,CCCCCN1C(=N)N(CC(O)COc2cccc(C)c2)c3ccccc13
MMV000445,1.135,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.887965918,0.003106308,0.000293647,0.000273136,4.86E-05,0.044458359,CCCCCCN1C(=N)N(CC(O)COc2cccc(C)c2)c3ccccc13
MMV000448,0.235,INACTIVE,INACTIVE,ACTIVE,ACTIVE,0.999498129,0.990687311,0.99999702,1,0.999825299,0.865155459,CN(C)CCCNc1c2ccccc2nc3ccccc13
MMV000478,0.746,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.01578757,0.002614093,0.000972799,0.00503587,0.999964595,0.106896851,CCOc1cc2CCNC(c3cc(Cl)ccc3O)c2cc1OCC
MMV000481,1.33,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.008794841,0.002910634,0.00075583,0.001043444,0.001592554,0.07903,CCOc1cc(cc(Cl)c1O)C2NCCc3cc(OCC)c(OCC)cc23
MMV000483,0.683,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.023203101,0.002442822,0.000940421,0.001324887,0.998465657,0.045772858,CCOc1cc2CCNC(c3cc(C)c(O)c(C)c3)c2cc1OCC
MMV000498,4.7744,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.045188654,0.002722413,0.000347477,0.001252695,2.76E-05,0.038332261,CCN(CC)c1cc(C)c2cc(NC(=O)c3cccc(OC)c3)ccc2n1
MMV000561,1.43,INACTIVE,INACTIVE,INACTIVE,INACTIVE,0.908616185,0.002853614,0.000540063,0.001529977,4.01E-05,0.031988043,CCCN(CCC)CCCNC(=O)c1cc2c(nn(C)c2s1)c3ccc(OC)c(OC)c3
MMV000563,0.845,INACTIVE,INACTIVE,INACTIVE,ACTIVE,0.004707117,0.002299329,0.000601824,0.000261764,0.999988317,0.042871167,COc1ccc(cc1)C2Sc3ccccc3N=C4C2=C(O)c5ccccc45
